"GPA","Number_Of_Professional_Connections","Major","Graduation_Year","Height","Number_Of_Credits","Number_Of_Parking_Tickets","HP","GC","predEarnings"
3.73,9,"STEM",2001,65.01,120,0,585.09,240120,9641.94405809526
3.25,23,"STEM",2011,68.65,122,0,1578.95,245342,9682.61429997677
2.32,22,"STEM",1989,69.52,120,1,1529.44,238680,9765.81907547619
3.39,11,"STEM",1967,68.49,120,0,753.39,236040,9671.56598791327
2.37,8,"STEM",2008,68.61,122,2,548.88,244976,9760.40191666665
2.81,106,"STEM",1995,68.17,122,0,7226.02,243390,9752.16189997676
2.49,15,"STEM",2009,67.16,126,4,1007.4,253134,9753.35192619047
2.44,11,"STEM",2015,71.45,125,2,785.95,251875,9760.33865714285
2.99,7,"STEM",1965,69.19,122,0,484.33,239730,9706.3223285482
2.95,16,"STEM",2000,69.83,123,2,1117.28,246000,9704.28421333337
2.17,6,"STEM",1980,70.16,123,1,420.96,243540,9777.93834285715
2.55,0,"STEM",1993,70.44,122,5,0,243146,9745.85245952382
2.29,11,"STEM",1987,66.88,121,1,735.68,240427,9772.16464047618
1.8,22,"STEM",1974,72.62,120,1,1597.64,236880,9811.84904758504
2.02,6,"STEM",1989,69.2,122,1,415.2,242658,9797.76512857143
2.3,19,"STEM",1990,67.31,123,2,1278.89,244770,9767.7284452381
2.71,5,"STEM",1963,65.61,120,3,328.05,235560,9729.89461700679
2.95,11,"STEM",1962,64.69,121,1,711.59,237402,9710.08671907287
2.6,4,"STEM",1997,67.33,120,0,269.32,239640,9740.65435957822
2.14,29,"STEM",1962,71.33,121,0,2068.57,237402,9784.73479215361
2.41,10,"STEM",1965,68.62,125,3,686.2,245625,9759.94952380951
3.09,61,"STEM",1962,72.15,120,0,4401.15,235440,9704.8087833101
2.72,1,"STEM",1971,68.96,122,0,68.96,240462,9729.904938072
2,105,"STEM",1975,65.05,123,1,6830.25,242925,9821.38707857147
2.4,15,"STEM",1985,68.49,120,1,1027.35,238200,9759.88244459183
2.89,4,"STEM",2004,69.17,120,2,276.68,240480,9712.6725602381
2.14,35,"STEM",2005,68.82,121,0,2408.7,242605,9786.50810950058
2.44,3,"STEM",1980,65.71,121,1,197.13,239580,9753.69904428571
1.67,11,"STEM",1961,69.92,123,3,769.12,241203,9817.91932142856
2.44,8,"STEM",1984,65.82,121,0,526.56,240064,9756.95945870692
3.04,80,"STEM",1988,69.71,120,0,5576.8,238560,9706.36215985449
2.53,3,"STEM",1993,66.34,123,1,199.02,245139,9746.20994142858
2.51,44,"STEM",1981,65.28,124,1,2872.32,245644,9746.47039761907
2.93,8,"STEM",1976,66.73,121,1,533.84,239096,9709.09710029388
3.01,6,"STEM",1969,67.87,126,0,407.22,248094,9703.74558671145
2.83,19,"STEM",2015,67.17,120,1,1276.23,241800,9720.10033492063
2.47,54,"STEM",1967,64.58,120,1,3487.32,236040,9748.71866190476
